match_id,prompt
16,"Aatrox, Akali, Artifact, BeryL, Braum, Canyon, Celebrity, DAMWON Gaming, DNK, Ezreal, Gragas, Hani, Kennen, LeBlanc, Lee Sin, Lowkey Esports.Vietnam, Nautilus, Nidalee, Nuclear, Nuguri, Pantheon, Pyke, Rakan, Renekton, ShowMaker, Syndra, Taliyah, Tristana, Venus, Xayah, Yasuo, Yuumi"
17,"Armut, Ashe, Caitlyn, Camille, Closer, Draven, Flamengo eSports, Gangplank, Goku, Gragas, Kaisa, LeBlanc, Lee Sin, Lissandra, Luci, Nocturne, Pantheon, Pilot, Qiyana, Rakan, RekSai, Renekton, Robo, Royal Youth, Shrimp, Syndra, Thresh, Tolerant, Twisted Fate, Xayah, brTT, cyeol"
18,"3z, Akali, Artifact, Caitlyn, Camille, Celebrity, Crash, DNK, Elise, Galio, Gangplank, Gragas, Hani, Hong Kong Attitude, Kaiwing, LeBlanc, Lee Sin, Lissandra, Lowkey Esports.Vietnam, Lux, Mission, Morgana, Pantheon, Qiyana, Rakan, Renekton, Syndra, Thresh, Tristana, Unified, Venus, Xayah"
19,"Armut, Blitzcrank, Camille, Closer, Draven, Elise, Ezreal, Fiora, Flamengo eSports, Gangplank, Goku, Gragas, Kaisa, Kled, LeBlanc, Lee Sin, Luci, Pantheon, Pilot, Pyke, Qiyana, RekSai, Renekton, Robo, Royal Youth, Shrimp, Sivir, Syndra, Thresh, Tolerant, brTT, cyeol"
20,"Akali, Artifact, Ashe, Camille, Celebrity, DNK, Deul, Elise, G4, Galio, Gragas, Hani, Kled, LeBlanc, Lloyd, Lowkey Esports.Vietnam, Lucian, MEGA, Morgana, Nautilus, Olaf, Pantheon, PoP, Rakan, RekSai, Renekton, Rockky, Thresh, Tristana, Venus, Xayah, Xin Zhao"
21,"Akali, BeryL, Canyon, DAMWON Gaming, Draven, Flamengo eSports, Goku, Gragas, Irelia, Kaisa, LeBlanc, Lee Sin, Luci, Nautilus, Neeko, Nuclear, Nuguri, Pantheon, Pyke, Qiyana, Rakan, RekSai, Renekton, Robo, Ryze, ShowMaker, Shrimp, Syndra, Thresh, Xayah, Yuumi, brTT"
22,"3z, Akali, Crash, Deul, Elise, Ezreal, G4, Galio, Gnar, Gragas, Hong Kong Attitude, Irelia, Jarvan IV, Kaiwing, LeBlanc, Lee Sin, Leona, Lloyd, MEGA, Mission, Nautilus, Olaf, Pantheon, PoP, Qiyana, Rakan, Renekton, Rockky, Syndra, Tristana, Unified, Xayah"
23,"Akali, Armut, BeryL, Canyon, Closer, DAMWON Gaming, Galio, Gragas, Irelia, Kaisa, Kled, LeBlanc, Lee Sin, Leona, Nautilus, Nuclear, Nuguri, Pantheon, Pilot, Qiyana, Rakan, RekSai, Renekton, Royal Youth, Ryze, ShowMaker, Syndra, Tolerant, Vladimir, Xayah, Yuumi, cyeol"
24,"AHaHaCiK, Ashe, BOSS, Clutch Gaming, Cody Sun, Damonte, Edward, Elise, Gangplank, Heimerdinger, Huni, Innaxe, Irelia, Kaisa, Lira, Mordekaiser, Nautilus, Nocturne, Nomanz, Olaf, Pantheon, Qiyana, Rakan, Rumble, Shen, Skarner, Syndra, Thresh, Unicorns Of Love, Vi, Vladimir, Vulcan"
25,"AHaHaCiK, BOSS, Babip, Camille, Destiny, Edward, Fudge, Gangplank, Gnar, Innaxe, Jax, Kaisa, Kayle, Lucian, Mammoth eSports, Nautilus, Nocturne, Nomanz, Olaf, Pantheon, Qiyana, RekSai, Renekton, Sejuani, Skarner, Syndra, Thresh, Triple, Unicorns Of Love, Vladimir, Xayah, k1ng"
26,"Ashe, Braum, Buggax, Corki, Gangplank, Gnar, Gragas, Humanoid, Isurus Gaming, Jarvan IV, Jhin, Kaisa, Kobbe, LeBlanc, Lucian, Norskeren, Oddie, Pantheon, Qiyana, Quinn, Slow, Splyce, Syndra, Thresh, Tore, Twisted Fate, Vizicsacsi, Vladimir, WARANGELUS, Xayah, Xerxe, Yasuo, seiya"
27,"Alistar, Babip, Clutch Gaming, Cody Sun, Damonte, Destiny, Fudge, Gangplank, Huni, Jarvan IV, Kaisa, LeBlanc, Leona, Lira, Lissandra, Lucian, Mammoth eSports, Morgana, Nautilus, Pantheon, Qiyana, Rakan, RekSai, Rumble, Ryze, Syndra, Triple, Tristana, Vladimir, Vulcan, Xayah, k1ng"
28,"Buggax, Ceros, Detonation FocusMe, Evi, Ezreal, Gaeng, Galio, Gangplank, Gnar, Gragas, Heimerdinger, Isurus Gaming, Karma, LeBlanc, Lucian, Nautilus, Nocturne, Oddie, Pantheon, Rakan, Ryze, Skarner, Slow, Steal, Syndra, Thresh, WARANGELUS, Xayah, Yasuo, Yutapon, Ziggs, seiya"
29,"AHaHaCiK, BOSS, Babip, Destiny, Edward, Fudge, Gangplank, Innaxe, Jarvan IV, Karma, Kayle, Kennen, LeBlanc, Leona, Mammoth eSports, Morgana, Neeko, Nomanz, Orianna, Pantheon, Qiyana, Rakan, RekSai, Renekton, Skarner, Syndra, Thresh, Triple, Unicorns Of Love, Vladimir, Xayah, k1ng"
30,"Akali, Ashe, Cassiopeia, Ceros, Detonation FocusMe, Evi, Gaeng, Galio, Gnar, Hecarim, Heimerdinger, Humanoid, Kaisa, Kennen, Kobbe, LeBlanc, Nautilus, Nocturne, Norskeren, Pantheon, Qiyana, Ryze, Splyce, Steal, Syndra, Thresh, Tore, Twisted Fate, Vizicsacsi, Xayah, Xerxe, Yutapon, Yuumi"
31,"AHaHaCiK, Aatrox, BOSS, Clutch Gaming, Cody Sun, Damonte, Edward, Fiddlesticks, Gangplank, Gnar, Heimerdinger, Huni, Innaxe, Irelia, Kayle, Lee Sin, Lira, Morgana, Nomanz, Orianna, Pantheon, Qiyana, Rakan, Renekton, Rumble, Skarner, Syndra, Tristana, Twisted Fate, Unicorns Of Love, Vulcan, Xayah"
32,"3z, Akali, Artifact, Celebrity, Crash, DNK, Elise, Gangplank, Gragas, Hani, Hong Kong Attitude, Jayce, Kaiwing, Karthus, LeBlanc, Leona, Lowkey Esports.Vietnam, Mission, Mordekaiser, Morgana, Nautilus, Pantheon, Pyke, Qiyana, Renekton, Sivir, Syndra, Thresh, Tristana, Unified, Venus, Xayah"
33,"Armut, Azir, Closer, Draven, Elise, Flamengo eSports, Goku, Gragas, Jarvan IV, Kaisa, Karthus, LeBlanc, Lee Sin, Luci, Nautilus, Neeko, Pantheon, Pilot, Qiyana, RekSai, Renekton, Robo, Royal Youth, Shrimp, Syndra, Thresh, Tolerant, Xayah, Yuumi, Zoe, brTT, cyeol"
34,"Akali, Artifact, Camille, Celebrity, DNK, Deul, Elise, G4, Gangplank, Gragas, Hani, Jayce, Kaisa, Lee Sin, Lloyd, Lowkey Esports.Vietnam, MEGA, Morgana, Nautilus, Olaf, Pantheon, PoP, Qiyana, RekSai, Renekton, Rockky, Syndra, Taliyah, Thresh, Venus, Xayah, Yuumi"
35,"Aatrox, Alistar, BeryL, Caitlyn, Canyon, DAMWON Gaming, Draven, Flamengo eSports, Goku, Gragas, Irelia, Kaisa, Luci, Nautilus, Neeko, Nuclear, Nuguri, Pantheon, Pyke, Qiyana, RekSai, Renekton, Robo, Ryze, ShowMaker, Shrimp, Syndra, Taliyah, Thresh, Xayah, Yuumi, brTT"
36,"3z, Corki, Crash, Deul, Elise, Ezreal, G4, Gangplank, Gragas, Hong Kong Attitude, Kaisa, Kaiwing, LeBlanc, Lee Sin, Lloyd, MEGA, Mission, MnM, Olaf, Pantheon, PoP, Qiyana, Quinn, Rakan, RekSai, Renekton, Rockky, Syndra, Thresh, Tristana, Twisted Fate, Xayah"
37,"Alistar, Armut, BeryL, Canyon, Closer, DAMWON Gaming, Elise, Gragas, Kaisa, Karthus, Kennen, LeBlanc, Lee Sin, Leona, Nuclear, Nuguri, Pantheon, Pilot, Qiyana, Quinn, Rakan, Renekton, Royal Youth, ShowMaker, Sylas, Syndra, Taliyah, Tolerant, Vladimir, Xayah, Yuumi, cyeol"
38,"Akali, Buggax, Cassiopeia, Gangplank, Gnar, Gragas, Humanoid, Isurus Gaming, Jarvan IV, Kaisa, Kobbe, LeBlanc, Lee Sin, Lissandra, Nautilus, Nocturne, Norskeren, Oddie, Pantheon, Qiyana, Rakan, Renekton, Slow, Splyce, Syndra, Tore, Twisted Fate, Vizicsacsi, WARANGELUS, Xayah, Xerxe, Yuumi, seiya"
39,"Azir, Babip, Clutch Gaming, Cody Sun, Damonte, Destiny, Elise, Fudge, Huni, Irelia, Jarvan IV, Kaisa, Karma, Lira, Mammoth eSports, Nautilus, Nocturne, Orianna, Pantheon, Qiyana, Rakan, Renekton, Rumble, Sivir, Skarner, Syndra, Triple, Tristana, Vladimir, Vulcan, Xayah, k1ng"
40,"Buggax, Ceros, Detonation FocusMe, Ekko, Evi, Ezreal, Gaeng, Gangplank, Gnar, Gragas, Heimerdinger, Irelia, Isurus Gaming, Karma, Kayle, Leona, Lucian, Nocturne, Oddie, Pantheon, Qiyana, Rakan, Ryze, Skarner, Slow, Steal, Thresh, WARANGELUS, Xayah, Yasuo, Yutapon, seiya"
41,"AHaHaCiK, Alistar, BOSS, Babip, Corki, Destiny, Edward, Ekko, Fudge, Gangplank, Innaxe, Kaisa, Kayle, Lucian, Mammoth eSports, Morgana, Nautilus, Nomanz, Pantheon, Pyke, Qiyana, Rakan, Renekton, Skarner, Syndra, Thresh, Triple, Tristana, Unicorns Of Love, Vladimir, Xayah, k1ng"
42,"Akali, Cassiopeia, Ceros, Detonation FocusMe, Ekko, Elise, Evi, Gaeng, Gangplank, Gnar, Hecarim, Heimerdinger, Humanoid, Kaisa, Kennen, Kobbe, Lucian, Nocturne, Norskeren, Olaf, Pantheon, Qiyana, Rakan, Ryze, Splyce, Steal, Syndra, Thresh, Tore, Vizicsacsi, Xayah, Xerxe, Yutapon"
43,"AHaHaCiK, Akali, BOSS, Caitlyn, Clutch Gaming, Cody Sun, Damonte, Draven, Edward, Ekko, Elise, Gangplank, Heimerdinger, Huni, Innaxe, Lira, Morgana, Neeko, Nomanz, Pantheon, Qiyana, Rakan, RekSai, Renekton, Rumble, Skarner, Syndra, Tristana, Unicorns Of Love, Vulcan, Xayah, Yuumi"
